1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.670468	0.000000	3.811356	0.016033	1235.8
1	-0.688037	0.000000	3.811356	0.080925	3.1
2	-0.675978	0.999995	3.638114	0.038235	2.6
3	-0.701709	1.999995	3.479935	0.036483	3.1
4	-0.673605	1.981085	3.482798	0.035255	2.9
5	-0.689816	2.981069	3.337569	0.036095	2.5
6	-0.683179	3.688273	3.241964	0.024533	2.9
7	-0.675253	4.685620	3.116081	0.022349	3.4
8	-0.660765	3.927490	3.210852	0.025940	2.6
9	-0.686005	4.798618	3.102433	0.022023	2.3
10	-0.670177	4.286673	3.165244	0.024109	2.3
11	-0.648108	5.196904	3.055265	0.052473	3.0
12	-0.704322	4.451984	3.144685	0.031433	3.1
13	-0.682136	5.451984	3.025803	0.032142	3.2
14	-0.687532	6.450785	2.915708	0.029994	3.4
15	-0.674057	7.450725	2.813232	0.029182	3.1
16	-0.702206	7.642849	2.794362	0.015655	3.1
17	-0.728550	6.894863	2.869291	0.048162	2.7
18	-0.689622	6.236795	2.938616	0.021822	2.8
19	-0.676102	5.479443	3.022665	0.028228	2.5
20	-0.686296	4.745053	3.108888	0.049674	2.6
21	-0.720536	5.744719	2.992684	0.050932	2.5
22	-0.686172	6.744719	2.884819	0.029966	2.5
23	-0.675085	7.739755	2.784940	0.051013	2.5
24	-0.690159	8.344440	2.727552	0.040097	2.4
25	-0.674717	7.585330	2.799985	0.036275	2.3
26	-0.682755	6.828566	2.876127	0.029081	2.7
27	-0.692095	6.078054	2.955843	0.026183	2.5
28	-0.710827	5.319006	3.041091	0.023351	2.7
29	-0.708293	6.049699	2.958942	0.036393	2.7
30	-0.689100	5.416690	3.029845	0.022606	2.8
31	-0.692611	6.409365	2.920114	0.036518	2.1
32	-0.692888	7.395328	2.818720	0.063047	2.2
33	-0.640014	8.395327	2.722830	0.037034	2.3
34	-0.693833	9.349368	2.637237	0.015110	3.0
35	-0.647633	9.540552	2.620728	0.025576	2.5
36	-0.706730	8.827855	2.683347	0.026296	2.3
37	-0.701580	8.723839	2.692737	0.018809	2.6
38	-0.699700	9.625391	2.613468	0.020429	2.3
39	-0.674597	10.257317	2.560632	0.028286	2.5
40	-0.695812	11.219285	2.484179	0.033466	2.3
41	-0.697527	10.517673	2.539480	0.024443	2.4
42	-0.688560	9.760318	2.602004	0.026010	2.4
43	-0.726636	10.752586	2.520692	0.050470	2.3
44	-0.690343	10.513747	2.539796	0.036086	2.6
45	-0.696197	11.513747	2.461681	0.035068	2.3
46	-0.677462	11.743489	2.444409	0.043153	2.1
47	-0.705960	12.002729	2.425208	0.019674	2.2
48	-0.685428	11.246562	2.482078	0.047454	2.4
49	-0.697160	11.707782	2.447078	0.030155	2.5
50	-0.684025	10.948863	2.505206	0.059131	2.2
51	-0.717704	10.246105	2.561551	0.049825	2.5
52	-0.652055	9.486980	2.625333	0.039392	2.3
53	-0.712462	8.727856	2.692373	0.036173	2.2
54	-0.672831	7.986769	2.761208	0.051193	2.3
55	-0.662045	7.375767	2.820663	0.064959	2.4
56	-0.714410	6.616643	2.898198	0.038991	2.3
57	-0.732803	5.902261	2.975158	0.022967	2.3
58	-0.693860	5.146751	3.061126	0.034115	2.3
59	-0.716271	5.131622	3.062898	0.057997	2.1
60	-0.700780	6.131622	2.950007	0.037619	2.1
61	-0.705333	7.129721	2.845335	0.049367	2.3
62	-0.723756	8.129721	2.747657	0.017870	2.4
63	-0.739016	7.371693	2.821068	0.033153	2.4
64	-0.707316	8.245145	2.736813	0.033315	2.3
65	-0.705956	7.580342	2.800473	0.025976	2.3
66	-0.702392	8.556304	2.708000	0.031232	2.2
67	-0.680205	7.817864	2.777391	0.045657	2.1
68	-0.694059	8.561348	2.707538	0.024527	2.4
69	-0.669155	9.561213	2.618956	0.045785	2.3
70	-0.685122	8.826979	2.683426	0.039173	2.6
71	-0.719313	9.826114	2.596451	0.035007	2.6
72	-0.715908	10.552041	2.536713	0.033494	2.2
73	-0.677425	9.978423	2.583685	0.069150	2.3
74	-0.689069	10.978423	2.502890	0.042217	2.7
75	-0.745283	10.219845	2.563705	0.037190	2.5
76	-0.723367	9.460721	2.627597	0.038309	2.5
77	-0.704117	8.701617	2.694752	0.031468	3.1
78	-0.750484	7.943295	2.765355	0.039508	2.4
79	-0.713668	8.938914	2.673393	0.029895	2.3
80	-0.691374	9.938904	2.586985	0.025135	2.3
81	-0.716008	10.855143	2.512577	0.030884	2.3
82	-0.689031	11.708706	2.447009	0.024502	2.1
83	-0.691379	10.950182	2.505103	0.046837	2.5
84	-0.680631	10.450859	2.544874	0.021519	2.5
85	-0.686820	10.175406	2.567360	0.010401	2.3
86	-0.709780	10.275533	2.559141	0.016849	2.4
87	-0.737220	9.785926	2.599840	0.025405	2.7
88	-0.704976	10.533457	2.538208	0.019410	2.9
89	-0.695362	9.776244	2.600658	0.043873	4.7
90	-0.691138	10.771905	2.519159	0.041239	28.9
91	-0.722711	11.771884	2.442291	0.046937	7.2
92	-0.721900	12.771884	2.369974	0.034229	5.3
93	-0.703947	13.480068	2.321297	0.064990	3.6
94	-0.681930	14.480068	2.255872	0.043749	4.0
95	-0.664745	13.722619	2.305082	0.037006	3.9
96	-0.704801	14.722618	2.240555	0.026877	3.5
97	-0.751031	15.686506	2.181687	0.023543	3.4
98	-0.696821	14.943284	2.226799	0.048262	3.9
99	-0.692960	14.186777	2.274675	0.023385	4.5
100	-0.693531	14.615664	2.247283	0.039263	4.6
101	-0.684183	15.536108	2.190668	0.059287	4.4
102	-0.736871	14.776984	2.237150	0.043857	4.0
103	-0.707407	14.017860	2.285648	0.035756	4.0
104	-0.694375	14.006663	2.286379	0.046254	3.3
105	-0.703803	15.006551	2.222887	0.071526	3.6
106	-0.705141	16.006551	2.162819	0.034625	3.6
107	-0.717328	15.318984	2.203764	0.042708	4.1
108	-0.735079	14.559870	2.250809	0.033585	3.6
109	-0.729432	13.800746	2.299907	0.050025	3.1
110	-0.713431	13.067332	2.349420	0.046538	3.6
111	-0.730024	13.596983	2.313453	0.032774	4.4
112	-0.738348	14.572283	2.250024	0.074155	3.9
113	-0.703046	13.813159	2.299087	0.021540	3.4
114	-0.700181	13.108485	2.346586	0.019989	3.5
115	-0.713318	12.865546	2.363419	0.034214	8.4
116	-0.703220	13.159287	2.343096	0.060607	13.9
117	-0.738015	12.400163	2.396350	0.055859	9.3
118	-0.737039	11.641059	2.452080	0.054809	4.1
119	-0.698398	12.388224	2.397207	0.023407	2.8
120	-0.733805	12.446137	2.393056	0.051792	2.5
121	-0.694853	13.426270	2.324925	0.026955	2.8
122	-0.743855	14.426270	2.259298	0.023132	2.5
123	-0.715399	13.898151	2.293488	0.015805	2.4
124	-0.757114	14.577563	2.249690	0.019113	2.3
125	-0.700543	13.911583	2.292605	0.056556	2.6
126	-0.733806	14.764202	2.237950	0.043924	2.3
127	-0.720297	14.005078	2.286482	0.047830	2.5
128	-0.710631	13.245968	2.337165	0.060414	2.6
129	-0.729841	12.486844	2.390147	0.038279	2.6
130	-0.722558	11.727903	2.445573	0.058227	2.6
131	-0.725611	10.968779	2.503645	0.036425	2.4
132	-0.694451	11.968683	2.427713	0.026077	2.6
133	-0.716056	11.210583	2.484851	0.042474	2.2
134	-0.693339	12.198681	2.410894	0.071975	2.3
135	-0.704949	13.189588	2.341019	0.038217	2.3
136	-0.723634	12.430464	2.394178	0.034175	2.1
137	-0.689971	11.682572	2.448965	0.029228	2.3
138	-0.727794	12.292977	2.404065	0.060854	2.4
139	-0.702864	13.292976	2.333961	0.042307	2.5
140	-0.715273	12.533852	2.386797	0.024767	2.3
141	-0.724002	13.528425	2.318046	0.030145	2.5
142	-0.722833	14.520605	2.253297	0.035338	2.3
143	-0.733348	13.863506	2.295767	0.032682	2.2
144	-0.722603	13.104483	2.346861	0.061276	2.3
145	-0.722199	12.345359	2.400289	0.014920	2.6
146	-0.691189	13.340906	2.330704	0.067649	2.4
147	-0.716938	13.881040	2.294613	0.048506	2.3
148	-0.739335	13.121976	2.345658	0.069887	2.2
149	-0.731232	12.362852	2.399030	0.038773	2.3
150	-0.744098	11.617585	2.453845	0.043450	2.1
151	-0.716854	10.858555	2.512307	0.049699	2.4
152	-0.748926	10.099430	2.573632	0.045894	2.4
153	-0.746662	9.340306	2.638025	0.044667	2.3
154	-0.714419	8.581303	2.705712	0.062648	2.2
155	-0.713567	7.822179	2.776976	0.050041	2.2
156	-0.761133	7.063054	2.852095	0.049821	2.3
157	-0.743278	7.927839	2.766833	0.027552	2.1
158	-0.729789	7.168716	2.841396	0.054316	2.4
159	-0.730157	6.421006	2.918875	0.013791	3.0
160	-0.728671	7.415260	2.816743	0.031141	2.8
161	-0.743083	8.403722	2.722053	0.035781	2.5
162	-0.748786	7.645446	2.794109	0.027109	2.2
163	-0.721382	8.644619	2.699933	0.033735	2.2
164	-0.754028	9.620542	2.613882	0.016031	2.5
165	-0.753228	9.006091	2.667408	0.081743	2.6
166	-0.750881	9.881592	2.591786	0.040539	2.6
167	-0.743269	9.122467	2.657103	0.065713	2.2
168	-0.779949	10.122460	2.571727	0.029031	2.4
169	-0.718492	11.122460	2.491667	0.030653	3.0
170	-0.776865	10.365957	2.551763	0.049304	3.2
171	-0.712802	9.606842	2.615052	0.043641	3.8
172	-0.752549	10.606842	2.532315	0.032841	2.9
173	-0.748716	11.606842	2.454653	0.029971	3.2
174	-0.701887	10.903238	2.508789	0.041249	3.1
175	-0.747344	10.144115	2.569939	0.036494	2.9
176	-0.752974	9.384991	2.634145	0.050365	4.8
177	-0.748153	9.756950	2.602289	0.032900	4.1
178	-0.766559	9.013741	2.666728	0.058955	3.0
179	-0.755192	10.012801	2.580821	0.036103	2.7
180	-0.739853	9.253676	2.645579	0.039890	3.2
