1:ItNr	2:Metric	2:Metric0	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient||	Time0[ms]	Time[ms]
0	-0.730866	-0.730866	0.000000	1206.837933	0.002703	0.002703	0.9	1241.7
1	-0.751000	-0.751000	0.000000	1206.837933	0.003495	0.003495	1.3	134.0
2	-0.754263	-0.754263	0.000000	1206.837933	0.003640	0.003640	0.9	138.0
3	-0.773947	-0.773947	0.000000	1206.837933	0.002216	0.002216	0.9	144.3
4	-0.748540	-0.748540	0.000000	1206.837933	0.002564	0.002564	1.2	154.7
5	-0.781517	-0.781517	0.000000	1206.837933	0.002620	0.002620	1.1	154.1
6	-0.788694	-0.788694	0.000000	1206.837933	0.001912	0.001912	1.1	153.1
7	-0.765592	-0.765592	0.000000	1206.837933	0.002157	0.002157	1.1	151.7
8	-0.777511	-0.777511	0.000000	1206.837933	0.002224	0.002224	1.1	154.1
9	-0.800380	-0.800380	0.000000	1206.837933	0.002055	0.002055	1.2	154.4
10	-0.795707	-0.795707	0.000000	1206.837933	0.001897	0.001897	1.0	152.9
11	-0.819192	-0.819192	0.000000	1206.837933	0.001380	0.001380	1.1	152.4
12	-0.818867	-0.818867	0.000000	1206.837933	0.001773	0.001773	1.2	153.3
13	-0.796229	-0.796229	0.000000	1206.837933	0.001897	0.001897	1.1	152.8
14	-0.819217	-0.819217	0.000000	1206.837933	0.001544	0.001544	1.1	152.4
15	-0.810403	-0.810403	0.000000	1206.837933	0.001606	0.001606	1.5	151.5
16	-0.823883	-0.823883	0.000000	1206.837933	0.001551	0.001551	1.2	154.0
17	-0.815177	-0.815177	0.000000	1206.837933	0.001770	0.001770	1.1	157.9
18	-0.823532	-0.823532	0.000000	1206.837933	0.001488	0.001488	1.3	152.3
19	-0.826635	-0.826635	0.000000	1206.837933	0.001751	0.001751	1.0	151.4
20	-0.830366	-0.830366	0.000000	1206.837933	0.001311	0.001311	1.1	151.0
21	-0.826381	-0.826381	0.000000	1206.837933	0.002373	0.002373	1.1	153.4
22	-0.816467	-0.816467	0.000000	1206.837933	0.001218	0.001218	1.1	153.3
23	-0.840131	-0.840131	0.000000	1206.837933	0.001187	0.001187	1.1	151.5
24	-0.819072	-0.819072	0.000000	1206.837933	0.001715	0.001715	1.1	150.5
25	-0.815736	-0.815736	0.000000	1206.837933	0.001859	0.001859	1.5	152.0
26	-0.810049	-0.810049	0.000000	1206.837933	0.001703	0.001703	1.1	151.3
27	-0.838789	-0.838789	0.000000	1206.837933	0.001666	0.001666	1.0	150.5
28	-0.835045	-0.835045	0.000000	1206.837933	0.001423	0.001423	1.1	151.0
29	-0.841905	-0.841905	0.000000	1206.837933	0.001674	0.001674	1.1	153.0
30	-0.830262	-0.830262	0.000000	1206.837933	0.001928	0.001928	1.1	152.5
31	-0.827097	-0.827097	0.000000	1206.837933	0.001412	0.001412	1.1	151.3
32	-0.838026	-0.838026	0.000000	1206.837933	0.001522	0.001522	1.0	151.0
33	-0.850820	-0.850820	0.000000	1206.837933	0.001663	0.001663	1.1	150.7
34	-0.865037	-0.865037	0.000000	1206.837933	0.001573	0.001573	1.1	150.8
35	-0.832533	-0.832533	0.000000	1206.837933	0.001546	0.001546	1.1	152.5
36	-0.851828	-0.851828	0.000000	1206.837933	0.001718	0.001718	1.0	150.2
37	-0.838045	-0.838045	0.000000	1206.837933	0.001843	0.001843	1.1	149.3
38	-0.863821	-0.863821	0.000000	1206.837933	0.000981	0.000981	1.1	149.5
39	-0.839448	-0.839448	0.000000	1206.837933	0.001439	0.001439	1.1	151.7
40	-0.862263	-0.862263	0.000000	1206.837933	0.001647	0.001647	1.1	150.8
41	-0.848562	-0.848562	0.000000	1206.837933	0.001320	0.001320	1.2	150.2
42	-0.866102	-0.866102	0.000000	1206.837933	0.001264	0.001264	1.1	153.0
43	-0.854386	-0.854386	0.000000	1206.837933	0.001081	0.001081	1.2	151.6
44	-0.860362	-0.860362	0.000000	1206.837933	0.001509	0.001509	1.1	150.7
45	-0.849705	-0.849705	0.000000	1206.837933	0.001578	0.001578	1.2	151.5
46	-0.856145	-0.856145	0.000000	1206.837933	0.001282	0.001282	1.1	150.1
47	-0.864385	-0.864385	0.000000	1206.837933	0.001469	0.001469	1.1	149.4
48	-0.856800	-0.856800	0.000000	1206.837933	0.001549	0.001549	1.4	153.7
49	-0.867633	-0.867633	0.000000	1206.837933	0.001518	0.001518	1.1	152.0
50	-0.859535	-0.859535	0.000000	1206.837933	0.001750	0.001750	1.0	150.6
51	-0.854661	-0.854661	0.000000	1206.837933	0.001351	0.001351	1.0	150.9
52	-0.862017	-0.862017	0.000000	1206.837933	0.001143	0.001143	1.0	151.2
53	-0.891112	-0.891112	0.000000	1206.837933	0.001034	0.001034	1.0	151.0
54	-0.876502	-0.876502	0.000000	1206.837933	0.001191	0.001191	1.1	150.9
55	-0.863806	-0.863806	0.000000	1206.837933	0.001252	0.001252	1.1	152.9
56	-0.857091	-0.857091	0.000000	1206.837933	0.001360	0.001360	1.3	151.7
57	-0.882367	-0.882367	0.000000	1206.837933	0.001283	0.001283	1.1	151.2
58	-0.893156	-0.893156	0.000000	1206.837933	0.001182	0.001182	1.1	164.6
59	-0.876045	-0.876045	0.000000	1206.837933	0.001680	0.001680	1.1	150.6
60	-0.868381	-0.868381	0.000000	1206.837933	0.001476	0.001476	1.1	151.2
61	-0.872416	-0.872416	0.000000	1206.837933	0.001877	0.001877	1.5	153.3
62	-0.862568	-0.862568	0.000000	1206.837933	0.001577	0.001577	1.1	152.2
63	-0.870586	-0.870586	0.000000	1206.837933	0.001732	0.001732	1.1	151.6
64	-0.887017	-0.887017	0.000000	1206.837933	0.001026	0.001026	1.0	150.5
65	-0.884419	-0.884419	0.789788	1163.095125	0.000969	0.000969	1.1	150.9
66	-0.875089	-0.875089	0.546014	1176.254526	0.001382	0.001382	1.0	150.4
67	-0.893463	-0.893463	0.302233	1189.715485	0.001724	0.001724	1.1	150.4
68	-0.888484	-0.888484	0.058452	1203.488120	0.001054	0.001054	1.1	152.2
69	-0.897104	-0.897104	0.000000	1206.837933	0.001095	0.001095	1.1	151.0
70	-0.874396	-0.874396	0.000000	1206.837933	0.001780	0.001780	1.1	152.5
71	-0.884724	-0.884724	0.000000	1206.837933	0.001294	0.001294	1.1	151.2
72	-0.898967	-0.898967	0.000000	1206.837933	0.000955	0.000955	1.1	151.6
73	-0.886681	-0.886681	0.000000	1206.837933	0.000879	0.000879	1.0	150.6
74	-0.894443	-0.894443	0.000000	1206.837933	0.001211	0.001211	1.1	152.3
75	-0.877585	-0.877585	0.000000	1206.837933	0.001264	0.001264	1.1	153.0
76	-0.879210	-0.879210	0.000000	1206.837933	0.001347	0.001347	1.1	149.7
77	-0.880602	-0.880602	0.000000	1206.837933	0.001305	0.001305	1.0	150.4
78	-0.905628	-0.905628	0.000000	1206.837933	0.000890	0.000890	1.1	151.6
79	-0.903825	-0.903825	0.000000	1206.837933	0.001002	0.001002	1.1	152.6
80	-0.891709	-0.891709	0.000000	1206.837933	0.001039	0.001039	1.1	150.7
81	-0.888921	-0.888921	0.000000	1206.837933	0.001529	0.001529	1.5	151.7
